AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9052,Telecommunications Line Installers and Repairers,detailed,60,12,0.886,1.36,,,28.8,59910,3.4,22.53,22.53,29.01,35.14,35.33,46850,46850,60330,73080,73480,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9071,"Maintenance and Repair Workers, General",detailed,850,2.8,11.611,1.17,,,22.53,46870,0.9,14.37,17.7,21.87,27.41,30.37,29900,36810,45480,57000,63160,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,49-9099,"Installation, Maintenance, and Repair Workers, All Other",detailed,40,13.2,0.548,0.47,,,24.43,50820,3.2,15.9,17.19,22.39,29.71,36.2,33060,35760,46570,61810,75300,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,7190,1.5,98.5,1.71,,,22.79,47410,0.9,16.35,16.77,20.94,27.96,34.52,34010,34890,43540,58150,71790,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-1011,First-Line Supervisors of Production and Operating Workers,detailed,550,3,7.571,1.71,,,34.73,72240,1,22.02,27.66,36.66,39.13,47.52,45800,57530,76250,81400,98840,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-2090,Miscellaneous Assemblers and Fabricators,detailed,1770,5.6,24.282,2.48,,,17.43,36260,1.6,14.19,16.76,16.76,17.25,20.94,29510,34850,34850,35890,43540,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-3011,Bakers,detailed,80,9.1,1.034,0.71,,,14.96,31110,1.7,10.39,13.54,14.54,16.59,17.92,21600,28160,30240,34500,37260,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-3021,Butchers and Meat Cutters,detailed,40,10.9,0.505,0.56,,,16.23,33760,2,12.52,14.46,15.86,17.63,21.44,26050,30070,32980,36660,44590,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,100,17.9,1.416,1.2,,,19.01,39540,2.8,14.26,17.56,18.09,21.83,21.83,29660,36520,37620,45410,45410,,
14020,"Bloomington, IN",4,IN,0,Cross-industry,cross-industry,1235,51-4041,Machinists,detailed,550,16.4,7.543,3.94,,,25.15,52310,1,18.02,18.06,23.81,29.2,34.52,37480,37570,49520,60730,71790,,
